name,dataset,score_on_train,score_on_test
HawkesExpKern,ny_taxi,0.22065633774089846,-6.77407235837822
HawkesExpKern,autoput,0.0057643727660490005,-0.03933849694223475
HawkesExpKern,finance,210.88559650768929,101.19958690880743
HawkesSumExpKern,ny_taxi,0.22065605394186805,-6.759012579028737
HawkesSumExpKern,autoput,0.0033573048902747486,-0.008740522620115597
HawkesSumExpKern,finance,1.6456927948027429,1.1301552587294146
HawkesADM4,ny_taxi,2.0207853516050847,113.9949748008323
HawkesADM4,autoput,167.32335341428112,1516.8788760741738
HawkesADM4,finance,7.935818747443911,44.33505119403539
FCN_euler,synthetic,318.71905517578125,
GRU,synthetic,115.77531433105469,
LSTM,synthetic,95.81013488769531,
RNN,synthetic,99.09757995605469,
RNN_euler,synthetic,128.055908203125,
LSTM_euler,synthetic,110.99563598632812,
SelfCorrecting,synthetic,850.5519409179688,
OwnHawkes,synthetic,97.78140258789062,
OwnHawkes,synthetic,112.94119262695312,
SelfCorrecting,synthetic,8547730.0,
OwnHawkesAnalytical,synthetic,,
Poisson,synthetic,111995.8046875,
HawkesSumGaussians,synthetic,136.78265380859378,
OwnHawkesTrapezoid,synthetic,105.37095642089844,
OwnHawkesAnalytical,synthetic,,
Poisson,synthetic,3860.213623046875,
PoissonAnalytical,synthetic,1794.901611328125,
PoissonPolynomial,synthetic,280957.71875,
PoissonPolynomialFirstOrderAnalytical,synthetic,1682.876220703125,
PoissonPolynomialFirstOrderAnalytical,synthetic,7711.29443359375,
PoissonPolynomialFirstOrderAnalytical,synthetic,2691.939208984375,
SelfCorrecting,synthetic,3705.581787109375,
SelfCorrecting,synthetic,1438.2960205078125,
PoissonAnalytical,synthetic,,
PoissonAnalytical,synthetic,,
PoissonAnalytical,synthetic,98.56507110595705,
PoissonAnalytical,synthetic,134.78279113769528,
PoissonAnalytical,synthetic,100.05622100830078,
